Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
UC 1 register,Chrome 89.0.4389.90,,,2564-03-23 02:16:41,2564-03-23 02:20:21,3m - 40.716s,FAILED
,,,,,,,
Test Cases/UC1_Register/TC 101 Register pass,Chrome 89.0.4389.90,,,2564-03-23 02:16:42,2564-03-23 02:17:35,53.100s,FAILED
"openBrowser("""")",Chrome 89.0.4389.90,,,2564-03-23 02:16:42,2564-03-23 02:16:47,5.242s,PASSED
"navigateToUrl(""http://localhost/Alumni/index.php/Alumni/index"")",Chrome 89.0.4389.90,,,2564-03-23 02:16:47,2564-03-23 02:16:50,3.157s,PASSED
"click(findTestObject(""Object Repository/Page_NPRU Alumni/a_Register""))",Chrome 89.0.4389.90,,,2564-03-23 02:16:50,2564-03-23 02:16:58,7.026s,PASSED
"setText(findTestObject(""Object Repository/Page_NPRU Alumni/input__Std_ID""), ""614259302"")",Chrome 89.0.4389.90,,,2564-03-23 02:16:58,2564-03-23 02:17:35,36.993s,FAILED
,,,,,,,
Test Cases/UC1_Register/TC 102 Register pass,Chrome 89.0.4389.90,,,2564-03-23 02:17:35,2564-03-23 02:19:04,1m - 29.043s,FAILED
"openBrowser("""")",Chrome 89.0.4389.90,,,2564-03-23 02:17:47,2564-03-23 02:18:14,26.674s,PASSED
"navigateToUrl(""http://localhost/Alumni/index.php/Alumni/index"")",Chrome 89.0.4389.90,,,2564-03-23 02:18:14,2564-03-23 02:18:17,3.136s,PASSED
"click(findTestObject(""Object Repository/Page_NPRU Alumni/a_Register""))",Chrome 89.0.4389.90,,,2564-03-23 02:18:17,2564-03-23 02:18:21,4.466s,PASSED
"click(findTestObject(""Object Repository/Page_NPRU Alumni/input__Std_ID""))",Chrome 89.0.4389.90,,,2564-03-23 02:18:21,2564-03-23 02:19:04,42.179s,FAILED
,,,,,,,
Test Cases/UC1_Register/TC 103 Register failed,Chrome 89.0.4389.90,,,2564-03-23 02:19:04,2564-03-23 02:20:21,1m - 17.316s,PASSED
"openBrowser("""")",Chrome 89.0.4389.90,,,2564-03-23 02:19:32,2564-03-23 02:19:41,9.424s,PASSED
"setViewPortSize(1600, 900)",Chrome 89.0.4389.90,,,2564-03-23 02:19:41,2564-03-23 02:19:44,2.456s,PASSED
"navigateToUrl(""http://localhost/Alumni/index.php/Alumni/index"")",Chrome 89.0.4389.90,,,2564-03-23 02:19:44,2564-03-23 02:19:50,5.845s,PASSED
"click(findTestObject(""Object Repository/Page_NPRU Alumni/a_Register""))",Chrome 89.0.4389.90,,,2564-03-23 02:19:50,2564-03-23 02:19:53,3.523s,PASSED
"setText(findTestObject(""Object Repository/Page_NPRU Alumni/input__Username""), ""earth"")",Chrome 89.0.4389.90,,,2564-03-23 02:19:53,2564-03-23 02:20:00,6.653s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_NPRU Alumni/input__Password""), ""VIjOZClaB9I="")",Chrome 89.0.4389.90,,,2564-03-23 02:20:00,2564-03-23 02:20:07,6.804s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_NPRU Alumni/input__Re_Password""), ""VIjOZClaB9I="")",Chrome 89.0.4389.90,,,2564-03-23 02:20:07,2564-03-23 02:20:08,0.846s,PASSED
"click(findTestObject(""Object Repository/Page_NPRU Alumni/input__submit""))",Chrome 89.0.4389.90,,,2564-03-23 02:20:08,2564-03-23 02:20:09,0.899s,PASSED
"verifyTextPresent(""ไม่สามารถเพิ่มข้อมูลได้ค่ะ !"", false)",Chrome 89.0.4389.90,,,2564-03-23 02:20:09,2564-03-23 02:20:09,0.386s,PASSED
closeBrowser(),Chrome 89.0.4389.90,,,2564-03-23 02:20:09,2564-03-23 02:20:21,12.389s,PASSED
